Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	turnover
380	-7782.732	-7387.225	-395.5069	2.683246	0.2392425	0.5332396	0.378114	12	4.491748	0.3295532	0.363169	0.712331	1.08043	1.84407	0.9113536	1.05168	0.177075	0.127491	1.06902	0.469651	0.460939	0.721909	0.275943	0.949358	0.746258	0.472628	0.0251766	1.08722	0.308283	0.0209592	0.621133	0.613443	0.383491	0.29683	0.599629	0.173116	0.199803	0.0390988	0.985819	0.4148928
390	-7775.49	-7388.358	-387.1313	2.524141	0.2270901	0.7697758	0.4827042	14	4.153661	0.3041562	0.348733	0.701237	1.0789	1.87113	1.25248	1.05168	0.18448	0.127491	1.03856	0.45967	0.460939	0.824943	0.275943	0.949358	0.700604	0.478298	0.0251766	1.08722	0.392943	0.0458305	0.621133	0.641619	0.383491	0.29683	0.599629	0.173116	0.157976	0.0341225	0.985819	0.3853987
400	-7773.33	-7386.067	-387.2625	2.09823	0.244146	0.5470114	0.5042822	13	4.281299	0.2375082	0.304725	0.665069	1.07226	1.95794	1.051294	1.05168	0.137264	0.127491	1.03856	0.556368	0.460939	0.880134	0.28962	0.949358	0.593398	0.478298	0.0251766	1.14861	0.392943	0.0458305	0.676693	0.628938	0.435519	0.29683	0.602611	0.119691	0.174414	0.0719304	0.985819	0.4796778
410	-7757.77	-7372.163	-385.6069	2.485702	0.2226099	0.8065324	0.24857	15	3.89545	0.3544377	0.345097	0.698386	1.07846	1.87805	1.055102	1.05168	0.148457	0.127491	0.717528	0.556368	0.222995	0.828077	0.28962	0.705899	0.593398	0.478298	0.0251766	1.14861	0.392943	0.0458305	0.595488	0.515207	0.435519	0.29683	0.51967	0.19067	0.116958	0.0719304	0.985819	0.2355885
420	-7742.954	-7358.299	-384.6546	2.216129	0.2438193	0.6271287	0.5214215	15	3.269122	0.3850182	0.317778	0.67619	1.07456	1.93147	1.14855	1.05168	0.148457	0.0191232	1.19437	0.48209	0.236836	0.828077	0.313288	0.705899	0.593398	0.478298	0.0251766	1.14861	1.00157	0.0495189	0.595488	0.661925	0.446917	0.289669	0.51967	0.19067	0.116958	0.0108122	0.985819	0.4539823
430	-7719.106	-7332.844	-386.2626	2.355679	0.228684	0.7483151	0.3795771	14	4.635378	0.2949923	0.332332	0.68819	1.07679	1.90269	1.127892	1.49717	0.120992	0.0191232	1.19437	0.48209	0.48001	0.828077	0.313288	0.907933	0.593398	0.520649	0.0251766	1.11905	1.00157	0.0495189	0.595488	0.546781	0.446917	0.396488	0.51967	0.19067	0.0853463	0.0108122	0.985819	0.3365367
440	-7712.769	-7328.744	-384.0247	2.380966	0.2333421	0.6264211	0.5676669	14	4.714253	0.2644414	0.334873	0.690243	1.07714	1.89774	1.194088	1.4238	0.136125	0.0191232	1.0092	0.401951	0.833869	0.828077	0.283363	0.66506	0.593398	0.520649	0.0187021	1.11905	1.00157	0.0495189	0.595488	0.54837	0.443726	0.447496	0.51967	0.297388	0.122211	0.0771864	0.985819	0.4753979
450	-7719.197	-7337.326	-381.8706	2.385657	0.2461556	0.7739821	0.4235662	15	4.264692	0.331044	0.335341	0.69062	1.0772	1.89683	1.197548	1.4238	0.135359	0.0191232	0.892666	0.640936	0.791184	0.817342	0.283363	0.66506	0.593398	0.523675	0.0226472	1.11905	1.00157	0.0495189	0.595488	0.54837	0.443726	0.447496	0.704608	0.297388	0.122211	0.0771864	1.12058	0.3536945
460	-7716.567	-7329.053	-387.5142	2.542749	0.2176906	0.681271	0.4098309	14	4.325883	0.2893892	0.350473	0.702592	1.0791	1.86784	1.091102	1.4238	0.131503	0.0174328	0.892666	0.640936	0.493297	0.817342	0.283363	0.52017	0.593398	0.523675	0.0226472	1.11905	1.00157	0.0042872	0.595488	0.601792	0.443726	0.235826	0.681816	0.297388	0.122211	0.0771864	1.12058	0.375612
470	-7720.425	-7331.876	-388.5483	2.144716	0.251679	0.6825618	0.3637788	13	3.972826	0.2828945	0.309958	0.66957	1.07322	1.94725	1.046341	1.40045	0.131503	0.0174328	0.892666	0.640936	0.714234	0.817342	0.283363	0.52017	0.650057	0.523675	0.0226472	1.15181	1.00157	0.0042872	0.739719	0.495008	0.443726	0.32616	0.681816	0.143844	0.122211	0.0796519	1.12058	0.3476677
480	-7707.433	-7325.939	-381.4949	2.583625	0.239988	0.8306235	0.4761551	13	4.113125	0.2366003	0.354244	0.705514	1.07952	1.86072	1.306779	1.40045	0.131503	0.0174328	0.892666	0.695112	0.0415645	0.817342	0.326478	0.52017	0.650057	0.523675	0.048625	1.11331	1.16015	0.199902	0.67885	0.589531	0.443726	0.32616	0.679419	0.143844	0.116244	0.0796519	1.14793	0.3643732
490	-7692.187	-7311.806	-380.381	2.331711	0.2318171	0.7697594	0.4396638	14	4.21681	0.4039267	0.329898	0.686211	1.07644	1.90745	1.209423	1.40045	0.172666	0.0174328	0.839455	0.664875	0.526649	0.87521	0.326478	0.54524	0.650057	0.523675	0.048625	1.1855	1.18185	0.16246	0.67885	0.595753	0.443726	0.357044	0.735085	0.17431	0.0912111	0.0796519	1.14793	0.3635318
500	-7696.998	-7317.38	-379.6176	2.474918	0.2575332	0.7168157	0.5777815	14	4.548584	0.2570673	0.344066	0.697573	1.07834	1.88002	1.294597	1.23465	0.118489	0.0174328	0.914353	0.664875	0.324804	1.00414	0.326478	0.648559	0.650057	0.545608	0.0646394	1.1855	1.18185	0.191869	0.67885	0.595753	0.463106	0.357044	0.619286	0.206	0.0912111	0.0796519	1.14793	0.4463021
510	-7686.161	-7302.072	-384.089	2.373191	0.2359988	0.4237673	0.8268612	14	4.476694	0.3298371	0.334095	0.689615	1.07703	1.89926	1.250628	1.36322	0.170733	0.0212481	1.08743	0.604575	0.337311	1.13746	0.31076	0.674394	0.650057	0.545608	0.0646394	1.1855	1.18185	0.191869	0.67885	0.779956	0.458921	0.302517	0.811205	0.133483	0.0507785	0.0636167	1.14793	0.6611566
520	-7678.947	-7295.846	-383.1009	2.603123	0.2425093	0.7529734	0.6105978	14	4.682015	0.2988793	0.356021	0.706881	1.07971	1.85739	1.363571	1.36322	0.205759	0.0212481	1.08743	0.604575	0.472238	1.13746	0.260757	0.674394	0.650057	0.545608	0.0646394	1.1855	1.18185	0.110858	0.593843	0.779956	0.458921	0.532788	0.889558	0.133483	0.0507785	0.0636167	1.14793	0.4477931
530	-7695.831	-7310.685	-385.146	2.152051	0.2415475	0.6363786	0.5033018	13	3.961147	0.4309308	0.310774	0.670266	1.07337	1.94559	1.13968	1.36322	0.205759	0.0212481	1.43271	0.604575	0.0421016	1.11626	0.567026	0.674394	0.650057	0.545608	0.0646394	1.1855	1.18185	0.10774	0.636192	0.773501	0.458921	0.532788	0.876115	0.133483	0.0507785	0.0636167	1.14793	0.4416166
540	-7691.753	-7302.465	-389.2876	2.245867	0.2485564	0.7066452	1.013175	14	4.0502	0.2954425	0.320958	0.678847	1.07508	1.92512	1.71982	1.23632	0.129786	0.0212481	1.3181	0.439774	0.0421016	1.06054	0.402748	0.713551	0.650057	0.545608	0.0815011	1.21781	0.844785	0.10774	0.636192	0.633771	0.458921	0.646814	0.891664	0.133483	0.07798	0.0636167	1.14793	0.5891168
550	-7700.128	-7314.621	-385.5066	2.750166	0.2407788	0.8350175	0.5321803	15	4.440288	0.4284182	0.368961	0.716685	1.08097	1.83339	1.367198	1.49713	0.0255143	0.0212481	1.3181	0.439774	0.469447	1.21162	0.402748	0.713551	0.668218	0.545608	0.0685914	1.12996	0.844785	0.10774	0.728992	0.633771	0.458921	0.658003	0.918028	0.346421	0.0626723	0.0636167	1.14793	0.389249
560	-7681.081	-7298.677	-382.4039	2.551162	0.2413972	0.886927	0.4772041	14	3.78051	0.3209514	0.351254	0.7032	1.07919	1.86636	1.364131	1.20671	0.16043	0.0901288	1.08188	0.439774	0.251515	1.21162	0.39996	0.713551	0.668218	0.545608	0.0685914	1.12996	1.01651	0.153937	0.728992	0.801723	0.458921	0.688111	0.994759	0.346421	0.0518672	0.0864528	1.14793	0.3498228
570	-7671.474	-7286.691	-384.7829	2.443195	0.2259129	0.6273635	0.5756713	13	3.684604	0.2339078	0.341004	0.695149	1.07795	1.88589	1.203035	1.20671	0.161974	0.0901288	1.08188	0.344432	0.251515	1.33686	0.345445	0.718263	0.668218	0.541544	0.0165694	1.12996	0.7437	0.16438	0.728992	0.801723	0.458921	0.688111	0.994759	0.170804	0.0518672	0.0307216	1.14793	0.4785159
