Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
470	-1766.452	-1558.094	-208.3588	0.2225618	0.10152	0.7696771	0.000316864	10	4.913349	0.1130564	0.00106943	0.0477206	0.439949	3.51126	0.769994	0.271948	0.96836	0.801743	0.683448	0.821035	0.377429	0.504558	2.04157	0.893191	2.03324	0.0004115148
480	-1765.95	-1557.29	-208.6601	0.23987	0.09692591	0.9481297	0.0001100854	10	4.61871	0.1470794	0.00167279	0.0594781	0.479631	3.45922	0.9482398	0.235395	0.96836	0.801743	0.892651	0.950933	0.372441	0.32096	1.72331	0.893191	1.96857	0.0001160945
490	-1780.511	-1570.958	-209.5534	0.2410454	0.102447	0.5783243	6.477772e-05	10	4.573901	0.3226302	0.00172037	0.0603036	0.482217	3.45576	0.5783891	0.277178	0.669142	0.705071	0.834919	0.969254	0.420182	0.350607	1.43235	0.893191	2.00244	0.0001119968
500	-1769.33	-1559.455	-209.8747	0.2105556	0.09658307	0.8742496	7.63223e-05	10	4.966347	0.2254851	0.000750871	0.0400783	0.410641	3.54853	0.8743259	0.296529	0.669142	0.705071	0.823487	1.5807	0.310923	0.469808	1.86825	0.949351	1.94354	8.729274e-05
510	-1776.759	-1568.595	-208.1636	0.2724735	0.1091813	0.9622762	0.000188613	10	4.523378	0.2083265	0.00332849	0.0833342	0.546546	3.36679	0.9624648	0.296529	1.66281	0.784508	0.595684	1.58694	0.305435	0.497758	1.87529	0.758756	2.00023	0.0001959687
520	-1771.5	-1563.94	-207.5599	0.2719374	0.1008416	0.6348957	0.0001608301	10	4.174208	0.1672441	0.00329544	0.0829289	0.545524	3.36825	0.6350566	0.289437	1.24704	0.784508	0.639861	1.69642	0.332474	0.51176	1.9876	0.821232	1.89278	0.0002532533
530	-1771.267	-1560.398	-210.869	0.2292898	0.09951411	0.4986953	0.0002897645	10	4.312345	0.1532486	0.00128283	0.0521965	0.45573	3.49079	0.4989851	0.307948	0.905813	0.784508	0.639861	1.69642	0.295346	0.596248	1.87703	0.845019	1.89278	0.0005807077
540	-1770.358	-1561.728	-208.6291	0.2579123	0.1076343	0.5824909	0.000123857	10	4.524707	0.1719839	0.00250121	0.0724606	0.517877	3.40716	0.5826148	0.280328	0.905813	0.891699	0.996734	1.69642	0.266487	0.632879	1.89607	0.969289	1.7172	0.0002125881
550	-1768.638	-1556.876	-211.762	0.2488225	0.09440999	0.6493454	0.0001204499	10	4.683751	0.1214011	0.00205733	0.0658409	0.498996	3.43311	0.6494659	0.253866	1.61662	0.924676	0.90683	1.69642	0.300744	0.637346	1.90051	0.867313	1.70342	0.0001854599
560	-1783.588	-1569.616	-213.9719	0.2638358	0.07883617	0.5184946	0.0001696585	10	4.600066	0.2363117	0.00282025	0.0768482	0.529769	3.39056	0.5186643	0.260787	1.73076	1.20787	0.90683	1.69642	0.24942	0.463875	2.03137	0.962722	1.70342	0.0003271066
